Date ,Speaker,Title,Room,,,
"September 16, 2019",-,-,-,,,
"September 23, 2019",Dr. Phil Austin,What I wish I'd known about statistics,5104,,,
"September 30, 2019",🎈🎈,New Student Carnival,,,,
"October 7, 2019",Saurav Sahu,,,,,
"October 14, 2019",🦃 🦃 🦃,Thanksgiving,Canada,,,
"October 21, 2019",Dr. Gonzalo Saldias,The influence of a submarine canyon on the circulation and cross-shore exchanges around an upwelling front,,,,
"October 28, 2019",Jurleys Vellojin,Seasonal variability of the carbon system of sub-Antarctic Fjord Seno Ballena,,,,
"November 4, 2019",Ben Moore-Maley,"""Characterizing wind driven upwelling in the Strait of Georgia""",,,,
"November 11, 2019",🇨🇦 🍁🇨🇦 ,Remembrance Day,Canada,,,
"November 18, 2019",Tara Howatt,"""Glider observations of downwelling and zooplankton in Clayoquot Canyon""",,,,
"November 25, 2019",Birgit Rogalla,"""River studies with an Arctic Mn model”",,,,
"December 2, 2019",Ana Franco,,,,,
"December 9, 2019",Susan Allen,“On Canyons: What we’ve learned recently”,,,,
"December 16, 2019",Jérémie Bonneau,"“Ice shelf and epishelf lake in Milne Fiord (82.5N,80.6W): mixing and more”",,,,
"December 23, 2019",,,,,,
"December 30, 2019",,,,,,
"January 6, 2020",,,,,,
"January 13, 2020",Philippe Tortell,,,,,
"January 20, 2020",Tereza Jarníková,,,,,
"January 27, 2020",Johannes Gemmrich,,,,,
"February 3, 2020",Melanie Chanona,,,,,
"February 10, 2020",OS practice talks,,,,,
"February 17, 2020",No Seminar,OCEAN SCIENCES,,,,
"February 24, 2020",,,,,,
"March 2, 2020",,,,,,
"March 9, 2020",,,,,,
"March 16, 2020",,,,,,
"March 23, 2020",Dany Dumont,CMOS-SCOR talk,,,,
"March 30, 2020",,,,,,
"April 6, 2020",,,,,,
"April 13, 2020",,,,,,
